Nome;Local;Hyperlink;Link;Double
Amapá Digital;Macapá / AP;http://www.amapadigital.net/;http://www.amapadigital.net/;http://www.amapadigital.net/
Amapá Em Foco;Macapá / AP;https://amapaemfoco.com/;https://amapaemfoco.com/;https://amapaemfoco.com/
Café com Notícia | Programa de Rádio;Macapá / AP;https://cafecomnoticia.com.br/;https://cafecomnoticia.com.br/;https://cafecomnoticia.com.br/
Extremo Norte AP;Macapá / AP;https://www.extremonorte-ap.com.br/;https://www.extremonorte-ap.com.br/;https://www.extremonorte-ap.com.br/
Portal Lado B;Macapá / AP;https://portalladob.com.br/;https://portalladob.com.br/;https://portalladob.com.br/
Portal Seles Nafes;Macapá;http://selesnafes.com/;http://selesnafes.com/;http://selesnafes.com/
Notícias de Ferreira Gomes;Ferreira Gomes;http://g1.globo.com/ap/amapa/cidade/ferreira-gome;http://g1.globo.com/ap/amapa/cidade/ferreira-gome;http://g1.globo.com/
Jari Notícias; Laranjal do Jari;https://www.jarinoticias.com.br/;https://www.jarinoticias.com.br/;https://www.jarinoticias.com.br/
Portal Jacob;Oiapoque;http://jacob.net.br/;http://jacob.net.br/;http://jacob.net.br/
Notícias de Pracuúba;Pracuúba;http://g1.globo.com/ap/amapa/cidade/pracuuba.html;http://g1.globo.com/ap/amapa/cidade/pracuuba.html;http://g1.globo.com/
Notícias de Santana AP; Santana AP;http://g1.globo.com/ap/amapa/cidade/santana-ap.ht;http://g1.globo.com/ap/amapa/cidade/santana-ap.ht;http://g1.globo.com/
Chico Terra;Amapá;http://chicoterra.com/;http://chicoterra.com/;http://chicoterra.com/
Sites do Amapá: Portal do Agro ;Concursos Amapá;http://www.portaldoagro.com/;http://www.portaldoagro.com/;http://www.portaldoagro.com/
Federação Amapaense de Futebol;-;http://www.fafamapa.com.br/;http://www.fafamapa.com.br/;http://www.fafamapa.com.br/
Campeonato Amapaense;-;http://globoesporte.globo.com/ap/futebol/campeona;http://globoesporte.globo.com/ap/futebol/campeona;http://globoesporte.globo.com/
Globo Esporte AP ;Videos;http://globoesporte.globo.com/ap/;http://globoesporte.globo.com/ap/;http://globoesporte.globo.com/
Rede Amazônica ;G1 Amapá;http://redeglobo.globo.com/redeamazonica/;http://redeglobo.globo.com/redeamazonica/;http://redeglobo.globo.com/
Bom Dia Amazônia ;Amapá TV , Jornal do Amapá;http://g1.globo.com/ap/amapa/bom-dia-amazonia/vid;http://g1.globo.com/ap/amapa/bom-dia-amazonia/vid;http://g1.globo.com/
Programa Amazônia Rural;-;http://g1.globo.com/ap/amapa/amazonia-rural/video;http://g1.globo.com/ap/amapa/amazonia-rural/video;http://g1.globo.com/
Blog Alcilene Cavalcante;Macapá;http://www.alcilenecavalcante.com.br/;http://www.alcilenecavalcante.com.br/;http://www.alcilenecavalcante.com.br/
Blog do Cleber Barbosa | Política;Macapá;http://www.cleberbarbosa.net/;http://www.cleberbarbosa.net/;http://www.cleberbarbosa.net/
Blog Alcinéa Cavalcante;Macapá;https://www.alcinea.com/;https://www.alcinea.com/;https://www.alcinea.com/
Blog Amazônia Via Amapá;Macapá;https://amazoniaviaamapa.wordpress.com;https://amazoniaviaamapa.wordpress.com;https://amazoniaviaamapa.wordpress.com
Blog do Bolero Neto | Repórter Policial;Macapá;http://joaoboleroneto.blogspot.com.br/;http://joaoboleroneto.blogspot.com.br/;http://joaoboleroneto.blogspot.com.br/
Blog do Iran Froes;Macapá;http://iranfroes.blogspot.com;http://iranfroes.blogspot.com;http://iranfroes.blogspot.com
Blog João Silva AP;Macapá;http://www.joaosilvaap.com.br;http://www.joaosilvaap.com.br;http://www.joaosilvaap.com.br
Blog Luiz Melo | Política Amapá;Macapá;http://www.luizmelo.blog.br;http://www.luizmelo.blog.br;http://www.luizmelo.blog.br
Blog Pauta News; Macapá;http://www.pautanews.com.br/;http://www.pautanews.com.br/;http://www.pautanews.com.br/
Blog Amapá em Paz;Amapá;http://amapaempaz.blogspot.com.br/;http://amapaempaz.blogspot.com.br/;http://amapaempaz.blogspot.com.br/
Blog Amapá no Congresso;Amapá;http://amapanocongresso.blogspot.com.br/;http://amapanocongresso.blogspot.com.br/;http://amapanocongresso.blogspot.com.br/
Blog Santana do Amapá;Santana AP;http://santanadoamapa.blogspot.com;http://santanadoamapa.blogspot.com;http://santanadoamapa.blogspot.com
